ID	offer	Song Name	Singer	Level Unlock	Price Ruby	duration	delay	version Notes Data	Is Local File	timeDrop	timeDropFinal	URL NotesData	MIDI File	MP3 File	isCrypto	youtubeId	endVideoTime	typeFREE	typePOP	typeEDM	typeROCK	Typenew	priceDollar	isHide
30011	NONE	Unique_The Hills	The Weeknd	11	9999	01:53	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/TheHills_TheWeeknd.mid.encrypted	TheHills_TheWeeknd.mid	The_Weeknd_-_The_Hills_Official_Video.mp3	0	yzTuBuRdAyA	01:53	0	1	0	0	0	0	0
30012	NONE	Unique_Taste The Feeling	Avicii vs Conrad Sewell	12	9999	02:02	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Tastethefeeling_Avicii.mid.encrypted	Tastethefeeling_Avicii.mid	Avicii_vs._Conrad_Sewell_-_Taste_The_Feeling.mp3	0	F82W3tKtr8c	02:02	0	1	0	0	0	0	0
30013	NONE	Unique_Treat You Better	Shawn Mendes	13	9999	01:22	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Treatyoubetter_Shawnmendes.mid.encrypted	Treatyoubetter_Shawnmendes.mid	Shawn_Mendes_-_Treat_You_Better.mp3	0	lY2yjAdbvdQ	01:22	0	0	1	0	0	0	0
30014	NONE	Unique_Sing Me To Sleep	Alan Walker	14	9999	03:09	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/SingMeToSleep_AlanWalker.mid.encrypted	SingMeToSleep_AlanWalker.mid	Alan_Walker_-_Sing_Me_To_Sleep.mp3	0	2i2khp_npdE	03:09	0	0	1	0	0	0	0
30015	NONE	Unique_Run Wild	Hardwell feat. Jake Reese	15	9999	02:03	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/RunWild_HardwellFtJakeReese.mid.encrypted	RunWild_HardwellFtJakeReese.mid	Hardwell_feat._Jake_Reese_-_Run_Wild_Official_Music_Video.mp3	0	ULwcsIPdc8w	02:03	0	0	1	0	0	0	0
30016	NONE	Unique_24K Magic	Bruno Mars	16	9999	01:56	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/24kMagic_Brunomars.mid.encrypted	24kMagic_Brunomars.mid	Bruno_Mars_-_24K_Magic_Official_Video.mp3	0	UqyT8IEBkvY	01:56	0	0	1	0	0	0	0
30017	NONE	Unique_Starboy	The Weeknd Featuring Daft Punk	17	9999	02:00	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Starboy_Theweekend.mid.encrypted	Starboy_Theweekend.mid	The_Weeknd_-_Starboy_ft._Daft_Punk_Official_Video.mp3	0	34Na4j8AVgA	02:00	0	0	1	0	0	0	0
30018	NONE	Unique_Worth It	Fifth Harmony ft Kidlnk	18	9999	01:47	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/WorthIt_FifthHarmonyFtKidInk.mid.encrypted	WorthIt_FifthHarmonyFtKidInk.mid	Fifth_Harmony_-_Worth_It_ft._Kid_Ink.mp3	0	YBHQbu5rbdQ	01:47	0	0	1	0	0	0	0
30019	NONE	Unique_Alone	Marshmello	19	9999	02:09	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Alone-Marshmello.mid.encrypted	Alone_Marshmello_full.mid	Marshmello_-_Alone_Monstercat_Official_Music_Video.mp3	0	ALZHF5UqnU4	02:09	0	0	1	0	0	0	0
30020	NONE	Unique_Burnin	Calvin Harris, R3hab	20	9999	02:09	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Burnin_CalvinHarrisFtR3hab.mid.encrypted	Burnin_CalvinHarrisFtR3hab.mid	Calvin_Harris_R3hab_-_Burnin_Official_Music_Video.mp3	0	ss6CAIGpoko	02:09	0	0	1	0	0	0	0
30021	NONE	Unique_Animals	Martin Garrix	21	9999	02:04	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Animals_Martingarrix.mid.encrypted	Animals_Martingarrix.mid	Martin_Garrix_-_Animals_Official_Video.mp3	0	gCYcHz2k5x0	02:04	0	0	1	0	0	0	0
30022	NONE	Unique_Play Hard	David Guetta ft. Ne-Yo, Akon	22	9999	02:04	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Playhard_Daviguetta.mid.encrypted	Playhard_Daviguetta.mid	David_Guetta_-_Play_Hard_ft._Ne-Yo_Akon_Official_Video.mp3	0	5dbEhBKGOtY	02:04	0	0	1	0	0	0	0
30023	NONE	Unique_The Nights	Avicii	23	9999	02:01	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Thenights_Avicii.mid.encrypted	Thenights_Avicii.mid	Avicii_-_The_Nights.mp3	0	UtF6Jej8yb4	02:01	0	0	0	1	0	0	0
30024	NONE	Unique_Dead on Arrival	Fall Out Boy	24	9999	03:15	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/DeadOnArrival_FallOutBoy.mid.encrypted	DeadOnArrival_FallOutBoy.mid	Fall_Out_Boy_-_Dead_On_Arrival_OFFICIAL_VIDEO.mp3	0	qL02p9KhABo	03:15	0	0	0	1	0	0	0
30025	NONE	Unique_In Due Time	Killswitch Engage	25	9999	03:27	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/InDueTime_KillswitchEngage.mid.encrypted	InDueTime_KillswitchEngage.mid	Killswitch_Engage_-_In_Due_Time_OFFICIAL_VIDEO.mp3	0	HANCzu70us4	03:27	0	0	0	1	0	0	0
30026	NONE	Unique_Immortalized	Disturbed	26	9999	04:17	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Immortalized_Disturbed.mid.encrypted	Immortalized_Disturbed.mid	Disturbed_-_Immortalized_Official_Lyric_Video.mp3	0	Auuqlcom6tM	04:17	0	0	0	1	0	0	0
30027	NONE	Unique_Points of Authority	Linkin Park	27	9999	03:30	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/PointsofAuthority_LinkinPark.mid.encrypted	PointsofAuthority_LinkinPark.mid	Points_Of_Authority_Official_Video_-_Linkin_Park.mp3	0	jZSPAp8kCl4	03:30	0	0	0	1	0	0	0
30028	NONE	Unique_Rain Over Me	Pitbull ft. Marc Anthony	28	9999	01:43	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Rainoverme_Pitbull.mid.encrypted	Rainoverme_Pitbull.mid	Pitbull_-_Rain_Over_Me_ft._Marc_Anthony_Official_Video.mp3	0	SmM0653YvXU	01:43	0	0	0	1	0	0	0
30029	NONE	Unique_Gentleman	Psy	29	9999	02:19	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Gentlemen_Psy.mid.encrypted	Gentlemen_Psy.mid	PSY_-_GENTLEMAN_M_V.mp3	0	ASO_zypdnsQ	02:19	0	0	0	1	0	0	0
30030	NONE	Unique_Lose Your Mind	Dzeko & Torres and Andres Fresko	30	9999	01:33	2	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Loseyourmind_Dzeko.mid.encrypted	Loseyourmind_Dzeko.mid	Dzeko_Torres_and_Andres_Fresko_-_Lose_Your_Mind_Official_Music_Video.mp3	0	sdjb3zhbLwI	01:33	0	0	0	1	0	0	0
